权重方案,Top20重合数量,Top20重合率
方案A_基础方案,20,100.0
方案B_提高评分权重,19,95.0
方案C_提高消费权重,20,100.0
方案D_提高性价比权重,20,100.0
方案E_平均权重,17,85.0
