name,adname,type,rating,cost
東小鲜.舟山小海鲜(钱江世纪城店),萧山区,餐饮服务;中餐厅;海鲜酒楼,4.8,143
吾庐有闲,余杭区,餐饮服务;中餐厅;广东菜(粤菜),4.8,150
东庭会·宴,上城区,餐饮服务;中餐厅;中餐厅,4.8,150
活蹦乱跳海鲜餐厅(丁桥店),上城区,餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;广东菜(粤菜),4.8,150
德悦东海怡品海鲜姿造(萧山金城路店),萧山区,餐饮服务;中餐厅;海鲜酒楼,4.8,151
钱塘宴(江河汇店),上城区,餐饮服务;中餐厅;中餐厅,4.8,157
AJIYA味屋日式烤肉(开元路店),上城区,餐饮服务;外国餐厅;日本料理,4.8,158
东京烧肉Itimaru(杭州解百A座店),上城区,餐饮服务;外国餐厅;日本料理,4.8,163
德悦悦品海鲜姿造·海鲜和牛火锅·商务宴·家宴(滨江长河店),滨江区,餐饮服务;中餐厅;海鲜酒楼,4.8,168
海鲨岛海鲜豆捞餐厅,上城区,餐饮服务;中餐厅;火锅店,4.8,176
红盔甲.小龙虾(杭州首店),萧山区,餐饮服务;中餐厅;中餐厅,4.8,188
繁秋·新粤菜,拱墅区,餐饮服务;中餐厅;中餐厅,4.8,202
月芽·自由餐厅·西溪湿地餐厅,西湖区,餐饮服务;餐饮相关场所;餐饮相关,4.8,226
牛排家(杭州滨江银泰店),滨江区,餐饮服务;外国餐厅;西餐厅(综合风味),4.8,234
德悦悦品海鲜姿造(凤起东路店),上城区,餐饮服务;中餐厅;海鲜酒楼,4.8,234
德悦悦品海鲜姿造(文一路),西湖区,餐饮服务;中餐厅;海鲜酒楼,4.8,235
十二月令·茶宴·庭院餐厅,滨江区,餐饮服务;中餐厅;中餐厅,4.8,298
月龙吟(悦坊商场店),上城区,餐饮服务;外国餐厅;日本料理,4.8,349
月芽·自由餐厅·虎跑1934店,西湖区,餐饮服务;外国餐厅;西餐厅(综合风味),4.8,352
竹哩(滨江店),滨江区,餐饮服务;外国餐厅;日本料理,4.8,397
竹哩·栩(万科中心店),西湖区,餐饮服务;外国餐厅;日本料理|餐饮服务;冷饮店;冷饮店,4.8,411
月龍吟(朝龙汇D+PARK店),萧山区,餐饮服务;外国餐厅;日本料理,4.8,425
月龍吟(星澜里店),滨江区,餐饮服务;外国餐厅;日本料理,4.8,451
月龍吟·黑金(瑞晶店),上城区,餐饮服务;中餐厅;中餐厅,4.8,481
观炉·海鲜姿造·大事之选,萧山区,餐饮服务;中餐厅;火锅店|餐饮服务;中餐厅;海鲜酒楼,4.8,489
重庆四间火锅(杭州首店),滨江区,餐饮服务;餐饮相关场所;餐饮相关,4.7,13
陕西罗家凉皮,上城区,餐饮服务;中餐厅;中餐厅,4.7,19
楠哥煎饺,上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,19
