name,adname,type,rating,cost
吃饭皇帝大·土家民族菜(城西银泰城店),拱墅区,餐饮服务;中餐厅;湖南菜(湘菜),4.7,80
吃饭皇帝大·土家民族菜(龙湖下沙天街店),钱塘区,餐饮服务;中餐厅;中餐厅,4.7,80
吃饭皇帝大·土家民族菜(西溪印象城A座店),余杭区,餐饮服务;中餐厅;中餐厅,4.7,80
兴玉东北烧烤东北菜(新时代陶瓷店),西湖区,餐饮服务;中餐厅;东北菜,4.7,80
宽马记·热鲜牛肉海鲜火锅(余杭店),余杭区,餐饮服务;餐饮相关场所;餐饮相关,4.7,80
小满烧鸟·居酒屋(杭州之翼店),上城区,餐饮服务;外国餐厅;日本料理,4.7,80
火柚星球·农场餐厅,西湖区,餐饮服务;外国餐厅;西餐厅(综合风味),4.7,80
带你去趟佳木斯·非遗烧烤(杭州首店),萧山区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,81
永梅衢州菜(刀茅巷店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,81
大陈小院,西湖区,餐饮服务;中餐厅;中餐厅|体育休闲服务;体育休闲服务场所;体育休闲服务场所,4.7,81
舒家大院老火锅(杭州市滨江区宝龙城店),滨江区,餐饮服务;中餐厅;火锅店,4.7,81
张功馆·地道桐庐菜(钱潮店),上城区,餐饮服务;中餐厅;中餐厅,4.7,82
旷野听风不想上班(奥体店),萧山区,餐饮服务;餐饮相关场所;餐饮相关,4.7,82
陈记饭店(八卦新村店),上城区,餐饮服务;中餐厅;浙江菜,4.7,82
府上家宴·百年浙菜(美上店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,82
晚酒·阿英川菜馆(一店),拱墅区,餐饮服务;中餐厅;四川菜(川菜),4.7,82
宴三衢·初味·衢州菜(西湖店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,82
小牛家村·贵州黄牛肉火锅(梦想小镇店),余杭区,餐饮服务;中餐厅;火锅店,4.7,82
玖十八烤鱼酒馆·龙虾·烧烤(奥莱金街店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,82
成都遇见你·串串吧(萧山店),萧山区,餐饮服务;中餐厅;火锅店,4.7,83
赵九记呱呱老火锅(EFC欧美广场店),余杭区,餐饮服务;中餐厅;火锅店,4.7,83
马丫东北饭儿(滨江文苑大厦店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,83
小杨小黄鱼烧烤.龙虾(中赢康康谷店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,83
广东脆皮鸡煲(滨盛路店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,84
吃饭皇帝大·土家民族菜(印力汇德隆杭州奥体印象城店),萧山区,餐饮服务;中餐厅;湖南菜(湘菜)|餐饮服务;冷饮店;冷饮店,4.7,84
潘家东北烧烤火锅,拱墅区,餐饮服务;中餐厅;火锅店,4.7,84
寿司郎(萧山万象汇店),萧山区,餐饮服务;外国餐厅;日本料理,4.7,84
