排名,name,adname,type,rating,cost,性价比
1,老姑东北人(立涛园店),萧山区,餐饮服务;中餐厅;东北菜,4.9,78,1.1214
2,老秦凉都黄牛肉馆(滨江总店),滨江区,餐饮服务;中餐厅;中餐厅,4.9,78,1.1214
3,湘香蒸菜馆(湘湖路店),萧山区,餐饮服务;中餐厅;湖南菜(湘菜),4.9,83,1.1059
4,老秦凉都黄牛肉馆(萧山店),萧山区,餐饮服务;中餐厅;中餐厅,4.9,83,1.1059
5,老秦凉都黄牛肉馆(市心北路店),萧山区,餐饮服务;中餐厅;中餐厅,4.9,85,1.1
6,本分冒菜(元天科技店),滨江区,餐饮服务;快餐厅;快餐厅,4.8,46,1.2467
7,荆九爷爆炒桥头三嫩(萧山店),萧山区,餐饮服务;中餐厅;特色/地方风味餐厅,4.8,55,1.1924
8,荆九爷爆炒桥头三嫩(滨江店),滨江区,餐饮服务;中餐厅;四川菜(川菜),4.8,55,1.1924
9,THREE FINGERS,西湖区,体育休闲服务;娱乐场所;酒吧|餐饮服务;快餐厅;快餐厅,4.8,60,1.1676
10,岳阳楼(滨兴小区店),滨江区,餐饮服务;餐饮相关场所;餐饮相关,4.8,62,1.1585
11,江渔儿成都冷锅鱼(浙港国际店),西湖区,餐饮服务;中餐厅;中餐厅,4.8,66,1.1416
12,荆九爷爆炒桥头三嫩(东站店),上城区,餐饮服务;中餐厅;中餐厅,4.8,67,1.1376
13,福泰来(北景园店),拱墅区,餐饮服务;中餐厅;东北菜,4.8,69,1.1298
14,小牛滚滚贵州黄牛肉火锅(中财店),滨江区,餐饮服务;中餐厅;火锅店,4.8,71,1.1224
15,鸟鸟好吃店·成都土砂锅串串(杭州总店),萧山区,餐饮服务;中餐厅;火锅店,4.8,75,1.1084
16,周姐焦烤鸡架·东北烧烤夜宵,滨江区,餐饮服务;中餐厅;中餐厅,4.8,77,1.1017
17,阿英川菜馆(丰潭路店),拱墅区,餐饮服务;中餐厅;四川菜(川菜),4.8,80,1.0923
18,刘老根·东北烧烤酒场(闻涛观潮店),滨江区,餐饮服务;餐饮相关场所;餐饮相关,4.8,80,1.0923
19,老秦凉都黄牛肉馆(星耀城店),滨江区,餐饮服务;中餐厅;中餐厅,4.8,80,1.0923
20,周姐焦烤鸡架·东北烧烤夜宵(隆和国际店),滨江区,餐饮服务;餐饮相关场所;餐饮相关,4.8,81,1.0892
21,叶老头碳炉草本鸡煲(杭州滨江店),滨江区,餐饮服务;中餐厅;中餐厅,4.8,86,1.0748
22,黄龙海鲜大排档(三墩店),西湖区,餐饮服务;中餐厅;海鲜酒楼,4.8,87,1.0721
23,金匠寿司(宝龙城店),滨江区,餐饮服务;外国餐厅;日本料理,4.8,89,1.0667
24,宽马记大排档·热鲜牛肉海鲜火锅(杭州首店),富阳区,餐饮服务;中餐厅;火锅店,4.8,90,1.0641
25,环球渔市,余杭区,餐饮服务;中餐厅;海鲜酒楼,4.8,90,1.0641
26,中国凉都黄牛肉馆,余杭区,餐饮服务;中餐厅;中餐厅,4.8,93,1.0565
27,照云川菜(萧山店),萧山区,餐饮服务;中餐厅;四川菜(川菜),4.8,96,1.0492
28,庆春食堂(国有资本投资大厦店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.8,97,1.0469
29,三两好友深夜食堂钱江世纪城店(焗海鲜·烤乳猪·罗氏虾),萧山区,餐饮服务;中餐厅;中餐厅,4.8,100,1.0401
30,重庆四间火锅(杭州首店),滨江区,餐饮服务;餐饮相关场所;餐饮相关,4.7,13,1.7809
31,陕西罗家凉皮,上城区,餐饮服务;中餐厅;中餐厅,4.7,19,1.5689
32,楠哥煎饺,上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,19,1.5689
33,绝美嘉海鲜馄饨(杭州总店),拱墅区,餐饮服务;快餐厅;快餐厅,4.7,23,1.4789
34,崔酱,拱墅区,餐饮服务;餐饮相关场所;餐饮相关,4.7,26,1.426
35,郑阿公顺德鸡煲饭双皮奶(东站店),上城区,餐饮服务;中餐厅;中餐厅,4.7,28,1.3958
36,郑阿公顺德鸡煲饭双皮奶(八方城店),余杭区,餐饮服务;中餐厅;中餐厅,4.7,28,1.3958
37,竹仙制麵·GINZA鶏白汤拉麺(兴耀·星澳商务中心店),滨江区,餐饮服务;餐饮相关场所;餐饮相关,4.7,32,1.3442
38,肥悦冒菜,上城区,餐饮服务;中餐厅;中餐厅,4.7,36,1.3016
39,郑阿公顺德鸡煲饭双皮奶(滨江宝龙店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,38,1.2829
40,三冬麻辣串,余杭区,餐饮服务;中餐厅;中餐厅,4.7,39,1.2741
41,满丼肉剧场,拱墅区,餐饮服务;外国餐厅;日本料理,4.7,39,1.2741
42,单羊世家·单县羊肉汤(景昙店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.7,40,1.2656
43,咸鱼仔饮食店,滨江区,餐饮服务;中餐厅;中餐厅,4.7,40,1.2656
44,如意Teppanyaki,上城区,餐饮服务;餐饮相关场所;餐饮相关,4.7,40,1.2656
45,重庆小天鹅麻辣烫(凤起路店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,41,1.2575
46,复兴面王(河东路店),拱墅区,餐饮服务;快餐厅;快餐厅,4.7,41,1.2575
47,后生仔.潮汕小馆(滨江店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,42,1.2496
48,111white三白咖啡·西餐(银湖美和院店),富阳区,餐饮服务;餐饮相关场所;餐饮相关,4.7,42,1.2496
49,No Coffee無咖,上城区,餐饮服务;咖啡厅;咖啡厅,4.7,43,1.242
50,问疆新疆手抓饭(太平门直街店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,45,1.2276
51,巷儿里餐厅·杭帮菜(信义坊步行街店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,45,1.2276
52,巷子里湘菜馆(八年湘守),拱墅区,餐饮服务;中餐厅;湖南菜(湘菜),4.7,45,1.2276
