排名,name,adname,type,rating,cost,性价比
1290,八合里潮汕鲜牛肉火锅(杭州来福士店),上城区,餐饮服务;中餐厅;火锅店,4.6,105,0.9864
1291,芸山季·云南山珍菌火锅(杭州湖滨in77店),上城区,餐饮服务;中餐厅;火锅店,4.6,105,0.9864
1292,重庆高老九火锅(龙湖西溪天街店),西湖区,餐饮服务;中餐厅;火锅店,4.6,105,0.9864
1293,粤顺·顺德菜(迪凯?城星国际店),上城区,餐饮服务;中餐厅;广东菜(粤菜),4.7,117,0.9852
1294,徽商故里(杭州店),西湖区,餐饮服务;中餐厅;安徽菜(徽菜),4.7,117,0.9852
1295,Funloop芳麓·湖畔南欧餐厅(西湖天地店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.7,117,0.9852
1296,红钳侠小龙虾·活鱼火锅·香辣蟹(钱江世纪城店),萧山区,餐饮服务;中餐厅;中餐厅,4.8,130,0.9846
1297,忙姐重庆老火锅(三新大厦店),上城区,餐饮服务;中餐厅;火锅店,4.6,106,0.9844
1298,任富贵重庆老火锅(杭州潮王路店),拱墅区,餐饮服务;中餐厅;火锅店,4.6,106,0.9844
1299,战友深夜食堂(金铂湾店),滨江区,餐饮服务;中餐厅;中餐厅,4.6,106,0.9844
1300,阿婆·给鸟烧鸟暖锅煎饺(文二菜市店),西湖区,餐饮服务;餐饮相关场所;餐饮相关,4.5,96,0.9837
1301,王市井龙虾·鲜货烧烤大排档(万塘汇店),西湖区,餐饮服务;中餐厅;海鲜酒楼,4.5,96,0.9837
1302,入江南·金奖杭帮菜·浙江菜(虎跑店),西湖区,餐饮服务;餐饮相关场所;餐饮相关,4.7,118,0.9834
1303,湘之荷·品质湘菜,拱墅区,餐饮服务;中餐厅;湖南菜(湘菜),4.7,118,0.9834
1304,鸟剑居酒屋(中山北路店),拱墅区,餐饮服务;外国餐厅;日本料理,4.7,118,0.9834
1305,鸟剑居酒屋(钱江世纪城店),萧山区,餐饮服务;外国餐厅;日本料理,4.7,118,0.9834
1306,钱江渔村·渔浦佳宴(湘湖店),萧山区,餐饮服务;中餐厅;海鲜酒楼,4.7,118,0.9834
1307,娃哈哈同乐舫(庆春店),上城区,餐饮服务;中餐厅;广东菜(粤菜),4.8,131,0.983
1308,忆香缘千衢菜妈妈味(东港路店),临平区,餐饮服务;快餐厅;快餐厅,4.4,87,0.9827
1309,盱眙战友龙虾(余杭店),余杭区,餐饮服务;中餐厅;特色/地方风味餐厅,4.4,87,0.9827
1310,蓝晓馆 · 融合餐厅,西湖区,餐饮服务;外国餐厅;西餐厅(综合风味),4.6,107,0.9825
1311,武林虾客·小龙虾·江南生腌(滨江店),滨江区,餐饮服务;中餐厅;海鲜酒楼,4.6,107,0.9825
1312,泷川本铺(工联cc店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.5,97,0.9815
1313,西塔老太太泥炉烤肉(五福天虹购物中心A座店),上城区,餐饮服务;中餐厅;中餐厅,4.6,108,0.9805
1314,钱塘串局烧烤,上城区,餐饮服务;中餐厅;中餐厅,4.4,88,0.9803
1315,名人名家·浙菜(秋涛北路店),上城区,餐饮服务;中餐厅;综合酒楼|餐饮服务;中餐厅;浙江菜,4.7,120,0.98
1316,海底捞火锅(金帝T-ONE MO店),萧山区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1317,马厂老火锅(杭州东站店),上城区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1318,郑阿公顺德鸡煲饭双皮奶(文一路店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,120,0.98
1319,海底捞火锅(杭州三花国际店),上城区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1320,海底捞火锅(杭州湖滨in77D区店),上城区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
