name,rating,cost,性价比,评分标准化,消费友好度,性价比标准化,综合得分
晓麟家奶茶(采荷店),4.6,8,2.093550221241726,0.8636363636363635,0.9993188010899182,0.9540363582134435,92.47
昙花庵路(蜜雪冰城店),4.5,7,2.1640425613334453,0.8181818181818181,1.0,1.0,91.82
重庆四间火锅(杭州首店),4.7,13,1.7809389539427707,0.909090909090909,0.9959128065395095,0.7502021218996104,88.31
晓麟奶茶(近江家园店),4.6,11,1.8511761801564852,0.8636363636363635,0.997275204359673,0.795999419897776,87.68
蜜雪冰城(双菱路137-1),4.3,7,2.0678628919408477,0.7272727272727271,1.0,0.9372872589368035,85.85
瑞幸咖啡(501城市广场店),4.6,13,1.7430466357737755,0.8636363636363635,0.9959128065395095,0.7254949134778759,85.53
陕西罗家凉皮,4.7,19,1.5688985432680702,0.909090909090909,0.9918256130790191,0.61194384493157,84.06
楠哥煎饺,4.7,19,1.5688985432680702,0.909090909090909,0.9918256130790191,0.61194384493157,84.06
蜜雪冰城(太平门直街店),4.4,10,1.834942522266684,0.7727272727272727,0.9979564032697548,0.7854144678992825,83.28
蜜雪冰城(尊宝大厦店),4.2,7,2.019773057244549,0.6818181818181819,1.0,0.9059308884052053,82.86
蜜雪冰城(四季青店),4.2,7,2.019773057244549,0.6818181818181819,1.0,0.9059308884052053,82.86
瑞幸咖啡(迪凯国际店),4.5,13,1.7051543176047803,0.8181818181818181,0.9959128065395095,0.7007877050561411,82.74
弯湾·爱生活茶饮铺(金牛坊店),4.5,13,1.7051543176047803,0.8181818181818181,0.9959128065395095,0.7007877050561411,82.74
绝美嘉海鲜馄饨(杭州总店),4.7,23,1.478892508087387,0.909090909090909,0.989100817438692,0.5532565442363406,82.23
蜜雪冰城(双菱路店),4.3,9,1.8674662721839825,0.7272727272727271,0.9986376021798365,0.8066211690643905,81.89
崔酱,4.7,26,1.426041455048712,0.909090909090909,0.9870572207084469,0.5187956813007191,81.15
王老笨·东北过桥米线(龙湖杭州西溪天街店),4.6,20,1.5109101982640347,0.8636363636363635,0.9911444141689373,0.5741332755265429,80.87
郑阿公顺德鸡煲饭双皮奶(东站店),4.7,28,1.3957787605548395,0.909090909090909,0.9856948228882834,0.49906327282339386,80.52
郑阿公顺德鸡煲饭双皮奶(八方城店),4.7,28,1.3957787605548395,0.909090909090909,0.9856948228882834,0.49906327282339386,80.52
1点点(江干四季青店),4.3,10,1.793239283124259,0.7272727272727271,0.9979564032697548,0.7582223964942549,80.42
麦当劳(中南国际商城店),4.6,22,1.4670733489574845,0.8636363636363635,0.9897820163487738,0.5455500105085866,79.97
新丰小吃(太平门直街分店),4.5,17,1.5568931531753711,0.8181818181818181,0.9931880108991825,0.6041158816520036,79.77
布蕾克喝茶工坊(近江五园店),4.6,23,1.4474267100429743,0.8636363636363635,0.989100817438692,0.5327396672542499,79.57
麦当劳(杭州凤起路餐厅),4.6,23,1.4474267100429743,0.8636363636363635,0.989100817438692,0.5327396672542499,79.57
正宗淮南牛肉汤,4.6,23,1.4474267100429743,0.8636363636363635,0.989100817438692,0.5327396672542499,79.57
竹仙制麵·GINZA鶏白汤拉麺(兴耀·星澳商务中心店),4.7,32,1.3441984372625695,0.909090909090909,0.9829700272479565,0.46543097320110954,79.45
本分冒菜(元天科技店),4.8,46,1.2467054504269033,0.9545454545454544,0.973433242506812,0.401861900053793,79.35
新丰小吃(高银街分店),4.5,18,1.5283047235279887,0.8181818181818181,0.9925068119891008,0.585475156463384,79.2
茶百道(四季青店),4.4,14,1.6247852415029624,0.7727272727272727,0.9952316076294278,0.6483840620524612,79.11
好再来奶茶店(采荷街道青荷苑社区店),4.4,14,1.6247852415029624,0.7727272727272727,0.9952316076294278,0.6483840620524612,79.11
茶百道(杭州萧山钱江大观店),4.4,14,1.6247852415029624,0.7727272727272727,0.9952316076294278,0.6483840620524612,79.11
肯德基(朝晖店),4.6,25,1.4118673115786202,0.8636363636363635,0.9877384196185286,0.5095536097190001,78.84
肥悦冒菜,4.7,36,1.3016080990216297,0.909090909090909,0.9802452316076294,0.43766048001095953,78.55
骑点咖啡 Ride Cafe,4.6,26,1.395700147494484,0.8636363636363635,0.9870572207084469,0.49901201416832247,78.51
麦当劳(江南明新DT店),4.6,26,1.395700147494484,0.8636363636363635,0.9870572207084469,0.49901201416832247,78.51
