排名,name,adname,type,rating,cost,性价比
238,宽马记·热鲜牛肉海鲜火锅(余杭店),余杭区,餐饮服务;餐饮相关场所;餐饮相关,4.7,80,1.0695
239,小满烧鸟·居酒屋(杭州之翼店),上城区,餐饮服务;外国餐厅;日本料理,4.7,80,1.0695
240,火柚星球·农场餐厅,西湖区,餐饮服务;外国餐厅;西餐厅(综合风味),4.7,80,1.0695
241,带你去趟佳木斯·非遗烧烤(杭州首店),萧山区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,81,1.0666
242,永梅衢州菜(刀茅巷店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,81,1.0666
243,大陈小院,西湖区,餐饮服务;中餐厅;中餐厅|体育休闲服务;体育休闲服务场所;体育休闲服务场所,4.7,81,1.0666
244,舒家大院老火锅(杭州市滨江区宝龙城店),滨江区,餐饮服务;中餐厅;火锅店,4.7,81,1.0666
245,张功馆·地道桐庐菜(钱潮店),上城区,餐饮服务;中餐厅;中餐厅,4.7,82,1.0636
246,旷野听风不想上班(奥体店),萧山区,餐饮服务;餐饮相关场所;餐饮相关,4.7,82,1.0636
247,陈记饭店(八卦新村店),上城区,餐饮服务;中餐厅;浙江菜,4.7,82,1.0636
248,府上家宴·百年浙菜(美上店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,82,1.0636
249,晚酒·阿英川菜馆(一店),拱墅区,餐饮服务;中餐厅;四川菜(川菜),4.7,82,1.0636
250,宴三衢·初味·衢州菜(西湖店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,82,1.0636
251,小牛家村·贵州黄牛肉火锅(梦想小镇店),余杭区,餐饮服务;中餐厅;火锅店,4.7,82,1.0636
252,玖十八烤鱼酒馆·龙虾·烧烤(奥莱金街店),西湖区,餐饮服务;中餐厅;中餐厅,4.7,82,1.0636
253,成都遇见你·串串吧(萧山店),萧山区,餐饮服务;中餐厅;火锅店,4.7,83,1.0608
254,赵九记呱呱老火锅(EFC欧美广场店),余杭区,餐饮服务;中餐厅;火锅店,4.7,83,1.0608
255,马丫东北饭儿(滨江文苑大厦店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,83,1.0608
256,小杨小黄鱼烧烤.龙虾(中赢康康谷店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,83,1.0608
