综合排名,name,adname,type,rating,cost,性价比,评分标准化,消费友好度,性价比标准化,综合得分
464,表妹烧烤·东北菜铁锅炖(九堡店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.6,56,1.1377545559702362,0.8636363636363635,0.9666212534059946,0.33082184267145315,72.95
465,麦当劳(华都大厦店),上城区,餐饮服务;快餐厅;麦当劳,4.4,27,1.3204471654018177,0.7727272727272727,0.9863760217983651,0.4499442557739071,72.93
466,汉堡王(杭州延安路中信),上城区,餐饮服务;快餐厅;快餐厅,4.4,27,1.3204471654018177,0.7727272727272727,0.9863760217983651,0.4499442557739071,72.93
467,汉堡王(杭州港龙城购物中心),上城区,餐饮服务;快餐厅;快餐厅,4.4,27,1.3204471654018177,0.7727272727272727,0.9863760217983651,0.4499442557739071,72.93
468,李若桃·手作酸奶铺(杭州来福士中心店),上城区,餐饮服务;冷饮店;冷饮店,4.2,15,1.5148297929334118,0.6818181818181819,0.9945504087193461,0.5766889978234242,72.85
469,李若桃·手作酸奶铺(杭州501大厦店),上城区,餐饮服务;冷饮店;冷饮店,4.2,15,1.5148297929334118,0.6818181818181819,0.9945504087193461,0.5766889978234242,72.85
470,古茗(杭州上城四季青二店),上城区,餐饮服务;冷饮店;冷饮店,4.2,15,1.5148297929334118,0.6818181818181819,0.9945504087193461,0.5766889978234242,72.85
471,古茗(杭州上城双菱路店),上城区,餐饮服务;冷饮店;冷饮店,4.2,15,1.5148297929334118,0.6818181818181819,0.9945504087193461,0.5766889978234242,72.85
472,古茗(杭州上城来福士店)(暂停营业),上城区,餐饮服务;冷饮店;冷饮店,4.2,15,1.5148297929334118,0.6818181818181819,0.9945504087193461,0.5766889978234242,72.85
473,阿姨很芒,上城区,餐饮服务;冷饮店;冷饮店,4.2,15,1.5148297929334118,0.6818181818181819,0.9945504087193461,0.5766889978234242,72.85
474,马丫东北饭儿(印悦里丰庆店),拱墅区,餐饮服务;中餐厅;中餐厅,4.6,57,1.1328813107466744,0.8636363636363635,0.9659400544959128,0.32764430455167454,72.84
475,食三嫂·齐齐哈尔烤肉·烧烤东北菜(胜利河美食街店),拱墅区,餐饮服务;餐饮相关场所;餐饮相关,4.6,57,1.1328813107466744,0.8636363636363635,0.9659400544959128,0.32764430455167454,72.84
476,萨莉亚意式餐厅(远洋乐堤港A区店),拱墅区,餐饮服务;外国餐厅;意式菜品餐厅,4.6,57,1.1328813107466744,0.8636363636363635,0.9659400544959128,0.32764430455167454,72.84
477,陈先进鱼馆(凤起店),上城区,餐饮服务;中餐厅;中餐厅,4.7,86,1.052417531916429,0.909090909090909,0.9461852861035422,0.2751789118276707,72.82
478,白乐天毛肚火锅店,萧山区,餐饮服务;中餐厅;火锅店,4.7,86,1.052417531916429,0.909090909090909,0.9461852861035422,0.2751789118276707,72.82
479,点都德(杭州中心店),拱墅区,餐饮服务;中餐厅;广东菜(粤菜),4.7,86,1.052417531916429,0.909090909090909,0.9461852861035422,0.2751789118276707,72.82
480,点都德(滨江银泰店),滨江区,餐饮服务;快餐厅;快餐厅,4.7,86,1.052417531916429,0.909090909090909,0.9461852861035422,0.2751789118276707,72.82
481,点都德(城西银泰城店),拱墅区,餐饮服务;快餐厅;快餐厅,4.7,86,1.052417531916429,0.909090909090909,0.9461852861035422,0.2751789118276707,72.82
482,点都德(奥体印象城店),萧山区,餐饮服务;中餐厅;广东菜(粤菜),4.7,86,1.052417531916429,0.909090909090909,0.9461852861035422,0.2751789118276707,72.82
483,故里百味药膳鸡(杭州总店),上城区,餐饮服务;中餐厅;中餐厅,4.5,39,1.2198826380681755,0.8181818181818181,0.9782016348773842,0.38437242336227656,72.8
484,STAY COFFEE(月季公寓店),上城区,餐饮服务;咖啡厅;咖啡厅,4.5,39,1.2198826380681755,0.8181818181818181,0.9782016348773842,0.38437242336227656,72.8
485,安徽饭店,临平区,餐饮服务;中餐厅;安徽菜(徽菜),4.3,20,1.4123725766381197,0.7272727272727271,0.9911444141689373,0.5098830614320782,72.8
486,喜茶(杭州万象城gelato lab+店),上城区,餐饮服务;冷饮店;冷饮店,4.3,20,1.4123725766381197,0.7272727272727271,0.9911444141689373,0.5098830614320782,72.8
487,霸王茶姬(浙江杭州上城四季青佳宝店),上城区,餐饮服务;休闲餐饮场所;休闲餐饮场所,4.3,20,1.4123725766381197,0.7272727272727271,0.9911444141689373,0.5098830614320782,72.8
488,KOI Thé(501城市广场店),上城区,餐饮服务;冷饮店;冷饮店,4.3,20,1.4123725766381197,0.7272727272727271,0.9911444141689373,0.5098830614320782,72.8
489,霸王茶姬(浙江杭州上城四季青常青店),上城区,餐饮服务;冷饮店;冷饮店,4.3,20,1.4123725766381197,0.7272727272727271,0.9911444141689373,0.5098830614320782,72.8
490,CHAGEE霸王茶姬(浙江杭州上城江河时代店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.3,20,1.4123725766381197,0.7272727272727271,0.9911444141689373,0.5098830614320782,72.8
491,塔斯汀中国汉堡(杭州市萧山望京店),萧山区,餐饮服务;快餐厅;快餐厅,4.3,20,1.4123725766381197,0.7272727272727271,0.9911444141689373,0.5098830614320782,72.8
492,塔斯汀中国汉堡(杭州市拱墅凤起路店),拱墅区,餐饮服务;快餐厅;快餐厅,4.3,20,1.4123725766381197,0.7272727272727271,0.9911444141689373,0.5098830614320782,72.8
493,红钳侠小龙虾·活鱼火锅·香辣蟹(钱江世纪城店),萧山区,餐饮服务;中餐厅;中餐厅,4.8,130,0.9845755323905997,0.9545454545454544,0.9162125340599455,0.23094339119902224,72.79
